Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Accidente con,Muertes,Clase de Accidente,severidad,hora,dia_semana,mes,fin_semana,Año,Mes,Mes_nombre,lat,lon
2024-06-08,A001651952,KILOMETRO 00+900 MTS VIA ANTIGUA  GUAMAL -,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Saturday,6,1,2024,6,junio,,
2024-06-09,A001651951,CALLE 13 CARRERA 21 -  COOPERATIVO,COOPERATIVO,2,2,HERIDOS,0,CHOQUE,0,0,Sunday,6,1,2024,6,junio,3.9876057,-73.7645413
2024-06-07,A001651952,CARRERA 23 CALLE 5 -  PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,2,2,HERIDOS,0,CHOQUE,0,0,Friday,6,0,2024,6,junio,3.9813847,-73.7668931
2024-06-16,A001651953,CALLE 14 CARRERA 45A -  CIMARRON,CIMARRON,1,0,MUERTOS,1,CHOQUE,1,0,Sunday,6,1,2024,6,junio,3.9931062,-73.7796356
2024-06-19,A001651954,KILOMETRO 26+500 MTS VIA VILLAVICENCIO  GRANADA -,SIN INFORMACIÓN,2,0,MUERTOS,1,CHOQUE,1,0,Wednesday,6,0,2024,6,junio,,
2024-06-20,A001651955,CARRERA 23 +18-35   -  MANCERA ESMERALDA,MANCERA,2,1,HERIDOS,0,CHOQUE,0,0,Thursday,6,0,2024,6,junio,3.9919826,-73.7594884
2024-06-20,A001651956,CALLE 14 CARRERA 26 -  SIN INFORMACIÃ“N DEL BARRIO,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Thursday,6,0,2024,6,junio,,
2024-06-21,A001651957,CALLE 20 48  -  BRISAS DE LA COLINA,BRISAS DE LA COLINA,2,2,HERIDOS,0,CHOQUE,0,0,Friday,6,0,2024,6,junio,3.9968549,-73.7798485
2024-06-22,A001651958,CALLE 23 N 19-16  - ARAGUANEY  LA PRIMAVERA,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Saturday,6,1,2024,6,junio,,
2024-06-24,A001651959,KILOMETRO 10+100 MTS VIA ACACIAS  CHCICHIMENE -,SIN INFORMACIÓN,2,2,HERIDOS,0,CHOQUE,0,0,Monday,6,0,2024,6,junio,,
2024-06-25,A001651960,CALLE 18 N.9-50  - PALERMO  RANCHO GRANDE,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Tuesday,6,0,2024,6,junio,,
2024-06-27,A001651961,CALLE 13 CARRERA  15 -  CENTRO,CENTRO,2,2,HERIDOS,0,CHOQUE,0,0,Thursday,6,0,2024,6,junio,3.9601604,-73.7585291
2024-06-27,A001651962,DIAGONAL 15 N 23 -17  -  SAN JOSÃ‰,SAN JOSÉ,1,3,HERIDOS,0,ATROPELLO,0,0,Thursday,6,0,2024,6,junio,3.9904639,-73.770546
2024-07-03,A001651963,KILOMETRO 4 VIA ACACIAS  DINAMARCA -,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Wednesday,7,0,2024,7,julio,,
2024-07-07,A001651964,KILOMETRO 0+400 MTS ACACIAS  VEREDA RANCHO  GRANDE,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Sunday,7,1,2024,7,julio,,
2024-07-10,A001651965,CALLE 18 CARRERA  17 -  MANCERA,MANCERA,1,1,HERIDOS,0,CHOQUE,0,0,Wednesday,7,0,2024,7,julio,3.9919826,-73.7594884
2024-07-10,A001651966,CARRERA 25 CALLE  10A - B/EVEREST,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Wednesday,7,0,2024,7,julio,,
2024-07-10,C-001588138,KILOMETRO 53+200 MTS   -  VÃA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,1,1,HERIDOS,0,ATROPELLO,0,0,Wednesday,7,0,2024,7,julio,,
